Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2016-08-05,4,1,13,43,5,0,6,19,154
2016-08-06,2,2,20,30,8,1,7,14,105
2016-08-07,2,3,16,31,7,1,9,23,74
2016-08-08,2,1,23,61,7,0,10,26,181
2016-08-09,4,2,17,56,9,0,12,16,162
2016-08-10,3,1,23,34,8,0,8,18,280
2016-08-11,3,0,28,42,6,1,7,11,164
2016-08-12,2,1,11,42,8,0,13,14,191
2016-08-13,3,1,15,37,6,1,10,27,94
2016-08-14,2,1,4,31,5,1,7,35,68
2016-08-15,3,3,19,23,5,0,9,21,60
2016-08-16,3,2,23,44,5,0,5,18,139
2016-08-17,5,1,18,53,7,3,7,16,155
2016-08-18,3,2,24,41,8,2,7,10,144
2016-08-19,1,0,18,50,5,1,4,14,165
2016-08-20,2,1,9,29,3,0,3,18,110
2016-08-21,4,4,13,24,8,1,8,27,154
2016-08-22,2,1,19,52,5,0,7,26,154
2016-08-23,2,1,19,55,8,0,9,12,158
2016-08-24,4,0,18,42,4,0,6,17,158
2016-08-25,2,4,18,40,18,0,19,16,167
2016-08-26,3,1,20,44,18,1,17,27,170
2016-08-28,3,2,17,33,8,0,11,21,123
2016-08-29,5,2,15,28,8,0,14,41,89
2016-08-29,6,1,36,76,7,1,10,33,159
2016-08-30,2,2,23,50,13,1,14,20,162
2016-08-31,3,6,11,27,5,0,9,30,137
2016-08-31,1,3,13,50,12,1,12,14,180
2016-09-01,1,2,16,48,12,1,15,8,198
2016-09-02,2,1,13,47,4,0,4,11,150
2016-09-03,3,2,8,33,9,5,7,28,111
2016-09-04,4,2,17,26,3,1,6,28,90
2016-09-05,0,3,24,61,6,0,8,24,179
2016-09-06,2,1,26,39,6,0,6,11,168
2016-09-07,4,1,19,47,7,0,10,15,149
2016-09-08,3,1,12,45,13,0,18,17,147
2016-09-09,4,2,12,43,11,0,13,21,182
2016-09-09,5,4,18,27,3,0,3,38,106
2016-09-11,5,7,12,24,10,4,9,29,85
2016-09-12,1,0,18,46,11,0,14,17,185
2016-09-13,4,1,16,48,11,2,11,23,155
2016-09-14,3,1,19,51,11,1,11,14,156
2016-09-15,3,1,13,47,12,0,13,11,182
2016-09-16,3,3,28,45,9,1,8,23,173
2016-09-17,3,4,9,34,8,1,12,21,240
2016-09-18,1,4,8,23,5,0,8,26,107
2016-09-19,5,2,25,47,4,0,5,24,189
2016-09-20,2,0,13,44,6,1,5,19,175
