Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
2008-09-28,8,5,28.0,60,13,0,18,22,67
2008-09-29,9,4,58.0,115,13,2,19,20,167
2008-09-30,6,5,55.0,92,11,1,11,32,147
2008-10-01,5,3,46.0,104,12,1,12,28,160
2008-10-02,8,4,60.0,93,13,1,19,35,159
2008-10-03,6,4,60.0,95,21,1,33,53,219
2008-10-04,6,4,44.0,84,10,1,15,45,173
2008-10-05,6,5,32.0,67,15,3,18,44,77
2008-10-06,5,10,55.0,110,9,0,12,35,156
2008-10-07,8,7,47.0,115,14,1,18,37,163
2008-10-08,5,6,51.0,106,17,0,22,30,140
2008-10-09,13,3,43.0,82,18,2,22,23,166
2008-10-10,11,3,50.0,108,21,1,27,52,174
2008-10-11,8,12,49.0,82,14,2,18,34,124
2008-10-12,8,8,26.0,59,25,2,35,44,119
2008-10-13,5,4,44.0,88,13,4,12,35,179
2008-10-14,7,3,45.0,100,13,1,16,32,178
2008-10-15,6,8,69.0,100,9,2,7,30,164
2008-10-16,6,4,51.0,106,28,6,25,39,210
2008-10-17,7,2,55.0,90,26,0,37,52,187
2008-10-18,9,7,33.0,85,17,0,25,41,122
2008-10-19,5,9,30.0,53,6,0,15,43,81
2008-10-20,4,3,49.0,92,13,2,17,28,177
2008-10-21,7,8,44.0,122,10,0,17,20,165
2008-10-22,13,4,52.0,91,14,1,14,24,151
2008-10-23,8,4,47.0,107,26,1,41,34,240
2008-10-24,5,5,64.0,96,14,1,15,34,170
2008-10-25,13,5,43.0,58,18,3,29,51,115
2008-10-26,4,5,47.0,47,9,1,18,45,84
2008-10-27,9,4,63.0,118,11,2,10,23,151
2008-10-28,5,1,53.0,97,7,0,8,27,159
2008-10-29,11,4,53.0,101,20,1,28,35,165
2008-10-30,10,4,69.0,103,19,0,22,34,221
2008-10-31,5,3,53.0,87,25,2,28,49,207
2008-11-01,11,10,36.0,54,16,0,21,50,117
2008-11-02,6,5,34.0,41,6,1,5,40,95
2008-11-03,11,6,73.0,87,13,2,11,24,138
2008-11-04,3,5,50.0,95,13,1,19,25,135
2008-11-05,5,7,40.0,107,12,0,18,23,153
2008-11-06,6,4,48.0,99,15,0,17,33,124
2008-11-07,3,4,52.0,91,13,0,19,31,161
2008-11-08,9,7,52.0,73,13,0,15,46,117
2008-11-09,6,9,41.0,54,10,1,17,42,97
2008-11-10,4,8,34.0,102,12,0,16,21,128
2008-11-11,9,1,42.0,49,10,1,14,39,71
2008-11-12,4,1,56.0,77,6,0,9,21,114
2008-11-13,15,0,57.0,136,15,3,18,40,149
